Model,Scenario,Carbon Capture|Geological Storage,Climate Assessment|Exceedance Probability 1.5°C [MAGICCv7.5.3],Emissions|CO2,Final Energy|Electricity,Primary Energy|Biomass,Primary Energy|Fossil,Primary Energy|Non-Biomass Renewables,Primary Energy|Nuclear
AIM/CGE V2.2,ENGAGE-NPi2020-800,14211.0951,57.66666667,-0.01,343.1588,180.1526,194.6094,305.6429,42.1322
AIM/CGE V2.2,ENGAGE-NPi2020-800f,21206.3118,57.66666667,-10000.0,381.2747,246.6672,160.815,313.394,43.5138
AIM/CGE V2.2,ENGAGE-NPi2020-900,14984.3195,63.83333333,-0.01,343.7982,179.9634,205.886,302.2065,41.8048
AIM/CGE V2.2,ENGAGE-NPi2020-900f,21432.4552,64.0,-10000.0,381.5703,245.8071,164.8326,312.5535,43.2365
AIM/Hub-Global 2.0,SDI-1.5°C,18094.7191,20.5,-7459.0432,273.0713,228.858,176.6863,187.1851,36.2365
AIM/Hub-Global 2.0,SDI-2.5°C,8809.5817,99.66666667,16085.7206,189.7568,151.4989,395.3164,129.3682,21.9387
AIM/Hub-Global 2.0,SDI-2°C,15785.5685,93.5,7030.3011,207.0402,158.3887,360.262,141.6941,24.4665
AIM/Hub-Global 2.0,SDI-well-below-2°C,18022.4695,53.83333333,-7476.2398,270.8527,224.1291,184.862,186.498,35.3076
COFFEE 1.1,COMMIT-2°C-2020,23778.50424,61.0,-17247.90689,380.7568686,421.3787536,194.7324302,354.1573171,57.75577397
COFFEE 1.1,COMMIT-2°C-2030,23567.81144,62.16666667,-17411.49651,378.1677558,457.0338572,166.5334714,350.5731322,56.58881761
COFFEE 1.1,COMMIT-Baseline,0.0,100.0,69442.4085,255.3776399,171.0197349,892.4690686,222.8026018,39.15854031
COFFEE 1.1,COMMIT-Bridge,23566.29915,60.83333333,-15243.19529,380.4976427,400.8915387,215.4856732,352.9746175,51.26821388
COFFEE 1.1,COMMIT-Current-Policies,0.0,100.0,45289.20496,182.1680045,75.80795032,613.588199,159.2041929,0.0
COFFEE 1.1,COMMIT-GPP,7699.216982,96.83333333,19553.4388,227.9181419,151.6684817,418.6095261,216.5772775,30.33011324
COFFEE 1.1,COMMIT-NDCplus,0.0,100.0,38741.65219,180.390833,101.278285,539.5865011,177.8906069,7.713205479
COFFEE 1.1,ENGAGE-INDCi2030-1000,17343.49573,80.83333333,26.289171,283.9342246,351.8361253,305.8592471,269.0430831,39.2895312
COFFEE 1.1,ENGAGE-INDCi2030-1000-COV-NDCp,16826.74454,84.33333333,23.314019,266.6883212,346.9065987,292.7096123,253.110242,36.83097181
COFFEE 1.1,ENGAGE-INDCi2030-1000-NDCp,17339.67394,81.5,27.661126,286.3473953,338.5523041,302.8279014,272.8719939,37.87123456
COFFEE 1.1,ENGAGE-INDCi2030-1000f,23691.23841,79.16666667,-16733.75661,378.3625307,459.0578884,171.6300266,354.5475818,51.75518952
COFFEE 1.1,ENGAGE-INDCi2030-1000f-COV-NDCp,23094.36209,74.33333333,-16970.6335,366.5438202,411.7151783,408.4880117,345.988303,49.2493116
COFFEE 1.1,ENGAGE-INDCi2030-1000f-NDCp,23552.70012,80.83333333,-16625.27682,377.9566705,450.2250635,195.1664739,354.2872705,53.16665695
COFFEE 1.1,ENGAGE-INDCi2030-1200,16904.89715,85.66666667,27.70088573,286.3368499,326.4740008,304.0701335,272.5417687,36.95840698
COFFEE 1.1,ENGAGE-INDCi2030-1200f,23569.37322,82.0,-16317.84912,378.8265245,434.4557948,172.8460355,354.4439089,52.36447796
COFFEE 1.1,ENGAGE-INDCi2030-1400,16869.78267,89.5,26.747532,289.0151965,316.3300714,301.272249,278.1443334,37.47688656
COFFEE 1.1,ENGAGE-INDCi2030-1400f,22773.23152,91.0,-15188.81197,373.8705415,385.130556,176.0252964,350.8187525,49.43724097
COFFEE 1.1,ENGAGE-INDCi2030-1600,17110.00232,92.83333333,27.266181,286.9966298,348.8258072,308.3722588,274.7418657,36.64454582
COFFEE 1.1,ENGAGE-INDCi2030-1600f,21817.35808,92.83333333,-12548.13919,363.0531252,400.9185635,196.8282498,339.9498639,47.03431876
COFFEE 1.1,ENGAGE-INDCi2030-1800,17880.99051,96.83333333,27.123049,285.7496932,326.7652232,320.0691957,270.7302917,35.13439482
COFFEE 1.1,ENGAGE-INDCi2030-1800f,20945.52246,96.66666667,-8429.239938,348.7315122,355.3846171,238.5197017,327.2215206,43.11267323
COFFEE 1.1,ENGAGE-INDCi2030-2000,18428.58327,98.83333333,26.185371,292.3220715,324.1224544,324.7587105,272.9528843,36.33162172
